# target	var1	var2	var3	var4	correct
Pictures\O.Fa1.2121.bmp	Pictures\O.Fa1.2122.bmp	Pictures\O.Fa1.1331.bmp	Pictures\O.Fa1.2121.bmp	Pictures\O.Fa1.3321.bmp	3
Pictures\O.Fb4.3312.bmp	Pictures\O.Fb4.2322.bmp	Pictures\O.Fb4.2132.bmp	Pictures\O.Fb4.2312.bmp	Pictures\O.Fb4.3312.bmp	4
Pictures\O.Fa4.1322.bmp	Pictures\O.Fa4.1322.bmp	Pictures\O.Fa4.1132.bmp	Pictures\O.Fa4.2232.bmp	Pictures\O.Fa4.1321.bmp	1
Pictures\O.Fa1.2133.bmp	Pictures\O.Fa1.1213.bmp	Pictures\O.Fa1.2233.bmp	Pictures\O.Fa1.2133.bmp	Pictures\O.Fa1.1123.bmp	3
Pictures\O.Fc3.2332.bmp	Pictures\O.Fc3.1112.bmp	Pictures\O.Fc3.3132.bmp	Pictures\O.Fc3.2331.bmp	Pictures\O.Fc3.2332.bmp	4
Pictures\O.Fb4.1322.bmp	Pictures\O.Fb4.1322.bmp	Pictures\O.Fb4.2312.bmp	Pictures\O.Fb4.3132.bmp	Pictures\O.Fb4.2322.bmp	1
Pictures\O.Fa3.2223.bmp	Pictures\O.Fa3.2221.bmp	Pictures\O.Fa3.2223.bmp	Pictures\O.Fa3.1323.bmp	Pictures\O.Fa3.1333.bmp	2
Pictures\O.Fc3.3332.bmp	Pictures\O.Fc3.2132.bmp	Pictures\O.Fc3.3312.bmp	Pictures\O.Fc3.3332.bmp	Pictures\O.Fc3.1112.bmp	3
Pictures\O.Fc1.3232.bmp	Pictures\O.Fc1.2322.bmp	Pictures\O.Fc1.3112.bmp	Pictures\O.Fc1.3231.bmp	Pictures\O.Fc1.3232.bmp	4
Pictures\O.Fa3.3313.bmp	Pictures\O.Fa3.3313.bmp	Pictures\O.Fa3.2333.bmp	Pictures\O.Fa3.2223.bmp	Pictures\O.Fa3.3213.bmp	1
Pictures\O.Fb4.3233.bmp	Pictures\O.Fb4.3223.bmp	Pictures\O.Fb4.3233.bmp	Pictures\O.Fb4.2313.bmp	Pictures\O.Fb4.3313.bmp	2
Pictures\O.Fb1.2222.bmp	Pictures\O.Fb1.3332.bmp	Pictures\O.Fb1.3322.bmp	Pictures\O.Fb1.2122.bmp	Pictures\O.Fb1.2222.bmp	4
Pictures\O.Fb2.3212.bmp	Pictures\O.Fb2.2112.bmp	Pictures\O.Fb2.3212.bmp	Pictures\O.Fb2.1332.bmp	Pictures\O.Fb2.3232.bmp	2
Pictures\O.Fc2.3123.bmp	Pictures\O.Fc2.1333.bmp	Pictures\O.Fc2.3333.bmp	Pictures\O.Fc2.3123.bmp	Pictures\O.Fc2.3121.bmp	3
Pictures\O.Fb2.2233.bmp	Pictures\O.Fb2.2223.bmp	Pictures\O.Fb2.1323.bmp	Pictures\O.Fb2.2233.bmp	Pictures\O.Fb2.2113.bmp	3
Pictures\O.Fb2.3221.bmp	Pictures\O.Fb2.3221.bmp	Pictures\O.Fb2.1211.bmp	Pictures\O.Fb2.1221.bmp	Pictures\O.Fb2.2331.bmp	1
Pictures\O.Fb4.2221.bmp	Pictures\O.Fb4.1221.bmp	Pictures\O.Fb4.1111.bmp	Pictures\O.Fb4.2221.bmp	Pictures\O.Fb4.3211.bmp	3
Pictures\O.Fa3.1321.bmp	Pictures\O.Fa3.1321.bmp	Pictures\O.Fa3.3331.bmp	Pictures\O.Fa3.2231.bmp	Pictures\O.Fa3.1331.bmp	1
Pictures\O.Fc2.3123.bmp	Pictures\O.Fc2.2333.bmp	Pictures\O.Fc2.2123.bmp	Pictures\O.Fc2.3313.bmp	Pictures\O.Fc2.3123.bmp	4
Pictures\O.Fb2.2231.bmp	Pictures\O.Fb2.2321.bmp	Pictures\O.Fb2.2231.bmp	Pictures\O.Fb2.3321.bmp	Pictures\O.Fb2.2233.bmp	2
Pictures\O.Fa1.1232.bmp	Pictures\O.Fa1.1132.bmp	Pictures\O.Fa1.1232.bmp	Pictures\O.Fa1.2312.bmp	Pictures\O.Fa1.2132.bmp	2
Pictures\O.Fc4.2123.bmp	Pictures\O.Fc4.2123.bmp	Pictures\O.Fc4.1223.bmp	Pictures\O.Fc4.1123.bmp	Pictures\O.Fc4.3313.bmp	1
Pictures\O.Fa4.1333.bmp	Pictures\O.Fa4.3113.bmp	Pictures\O.Fa4.2323.bmp	Pictures\O.Fa4.1333.bmp	Pictures\O.Fa4.1331.bmp	3
