# target	var1	var2	var3	var4	correct
Pictures\O.Fc3.1322.bmp	Pictures\O.Fc3.3212.bmp	Pictures\O.Fc3.3332.bmp	Pictures\O.Fc3.1312.bmp	Pictures\O.Fc3.1322.bmp	4
Pictures\O.Fb4.2213.bmp	Pictures\O.Fb4.1233.bmp	Pictures\O.Fb4.3333.bmp	Pictures\O.Fb4.2213.bmp	Pictures\O.Fb4.2313.bmp	3
Pictures\O.Fc3.3231.bmp	Pictures\O.Fc3.3231.bmp	Pictures\O.Fc3.2211.bmp	Pictures\O.Fc3.1231.bmp	Pictures\O.Fc3.1121.bmp	1
Pictures\O.Fb4.2122.bmp	Pictures\O.Fb4.2122.bmp	Pictures\O.Fb4.2322.bmp	Pictures\O.Fb4.1312.bmp	Pictures\O.Fb4.1222.bmp	1
Pictures\O.Fa1.3233.bmp	Pictures\O.Fa1.3233.bmp	Pictures\O.Fa1.1213.bmp	Pictures\O.Fa1.3133.bmp	Pictures\O.Fa1.1123.bmp	1
Pictures\O.Fb1.1113.bmp	Pictures\O.Fb1.2133.bmp	Pictures\O.Fb1.3113.bmp	Pictures\O.Fb1.1113.bmp	Pictures\O.Fb1.3333.bmp	3
Pictures\O.Fa4.2232.bmp	Pictures\O.Fa4.3322.bmp	Pictures\O.Fa4.3232.bmp	Pictures\O.Fa4.2232.bmp	Pictures\O.Fa4.2312.bmp	3
Pictures\O.Fc1.1111.bmp	Pictures\O.Fc1.3131.bmp	Pictures\O.Fc1.1111.bmp	Pictures\O.Fc1.2321.bmp	Pictures\O.Fc1.1211.bmp	2
Pictures\O.Fb1.3313.bmp	Pictures\O.Fb1.3311.bmp	Pictures\O.Fb1.2213.bmp	Pictures\O.Fb1.1123.bmp	Pictures\O.Fb1.3313.bmp	4
Pictures\O.Fb2.1223.bmp	Pictures\O.Fb2.1221.bmp	Pictures\O.Fb2.3313.bmp	Pictures\O.Fb2.1223.bmp	Pictures\O.Fb2.1133.bmp	3
Pictures\O.Fa1.1232.bmp	Pictures\O.Fa1.2232.bmp	Pictures\O.Fa1.2332.bmp	Pictures\O.Fa1.2122.bmp	Pictures\O.Fa1.1232.bmp	4
Pictures\O.Fa2.2332.bmp	Pictures\O.Fa2.2332.bmp	Pictures\O.Fa2.2232.bmp	Pictures\O.Fa2.1222.bmp	Pictures\O.Fa2.2212.bmp	1
Pictures\O.Fb4.3213.bmp	Pictures\O.Fb4.2213.bmp	Pictures\O.Fb4.3213.bmp	Pictures\O.Fb4.1313.bmp	Pictures\O.Fb4.1123.bmp	2
Pictures\O.Fb4.2123.bmp	Pictures\O.Fb4.2313.bmp	Pictures\O.Fb4.2123.bmp	Pictures\O.Fb4.3313.bmp	Pictures\O.Fb4.2133.bmp	2
Pictures\O.Fc3.3321.bmp	Pictures\O.Fc3.2321.bmp	Pictures\O.Fc3.3321.bmp	Pictures\O.Fc3.2131.bmp	Pictures\O.Fc3.3211.bmp	2
Pictures\O.Fb4.3112.bmp	Pictures\O.Fb4.3113.bmp	Pictures\O.Fb4.1132.bmp	Pictures\O.Fb4.2322.bmp	Pictures\O.Fb4.3112.bmp	4
Pictures\O.Fb1.1311.bmp	Pictures\O.Fb1.1111.bmp	Pictures\O.Fb1.1121.bmp	Pictures\O.Fb1.1311.bmp	Pictures\O.Fb1.2121.bmp	3
Pictures\O.Fa3.2322.bmp	Pictures\O.Fa3.1112.bmp	Pictures\O.Fa3.3222.bmp	Pictures\O.Fa3.2222.bmp	Pictures\O.Fa3.2322.bmp	4
Pictures\O.Fb4.1231.bmp	Pictures\O.Fb4.3331.bmp	Pictures\O.Fb4.1211.bmp	Pictures\O.Fb4.1231.bmp	Pictures\O.Fb4.2121.bmp	3
Pictures\O.Fb4.3232.bmp	Pictures\O.Fb4.2322.bmp	Pictures\O.Fb4.3232.bmp	Pictures\O.Fb4.3231.bmp	Pictures\O.Fb4.3112.bmp	2
Pictures\O.Fa1.1223.bmp	Pictures\O.Fa1.1223.bmp	Pictures\O.Fa1.1221.bmp	Pictures\O.Fa1.3123.bmp	Pictures\O.Fa1.2133.bmp	1
Pictures\O.Fb4.2112.bmp	Pictures\O.Fb4.3122.bmp	Pictures\O.Fb4.3322.bmp	Pictures\O.Fb4.2312.bmp	Pictures\O.Fb4.2112.bmp	4
Pictures\O.Fc2.2121.bmp	Pictures\O.Fc2.2121.bmp	Pictures\O.Fc2.2123.bmp	Pictures\O.Fc2.3111.bmp	Pictures\O.Fc2.1211.bmp	1
Pictures\O.Fc1.1112.bmp	Pictures\O.Fc1.2132.bmp	Pictures\O.Fc1.2322.bmp	Pictures\O.Fc1.1112.bmp	Pictures\O.Fc1.1132.bmp	3
Pictures\O.Fa1.1232.bmp	Pictures\O.Fa1.2132.bmp	Pictures\O.Fa1.1232.bmp	Pictures\O.Fa1.3122.bmp	Pictures\O.Fa1.3232.bmp	2
Pictures\O.Fc3.3111.bmp	Pictures\O.Fc3.3221.bmp	Pictures\O.Fc3.1221.bmp	Pictures\O.Fc3.3311.bmp	Pictures\O.Fc3.3111.bmp	4
Pictures\O.Fc2.1221.bmp	Pictures\O.Fc2.1221.bmp	Pictures\O.Fc2.2231.bmp	Pictures\O.Fc2.1321.bmp	Pictures\O.Fc2.3131.bmp	1
Pictures\O.Fa1.3113.bmp	Pictures\O.Fa1.3113.bmp	Pictures\O.Fa1.1313.bmp	Pictures\O.Fa1.3123.bmp	Pictures\O.Fa1.2223.bmp	1
Pictures\O.Fc4.2322.bmp	Pictures\O.Fc4.3312.bmp	Pictures\O.Fc4.2323.bmp	Pictures\O.Fc4.2322.bmp	Pictures\O.Fc4.3112.bmp	3
Pictures\O.Fb1.2121.bmp	Pictures\O.Fb1.2121.bmp	Pictures\O.Fb1.3211.bmp	Pictures\O.Fb1.1131.bmp	Pictures\O.Fb1.2321.bmp	1
Pictures\O.Fb1.3132.bmp	Pictures\O.Fb1.1322.bmp	Pictures\O.Fb1.3132.bmp	Pictures\O.Fb1.1332.bmp	Pictures\O.Fb1.2132.bmp	2
Pictures\O.Fc4.3333.bmp	Pictures\O.Fc4.1123.bmp	Pictures\O.Fc4.3333.bmp	Pictures\O.Fc4.1313.bmp	Pictures\O.Fc4.3323.bmp	2
Pictures\O.Fb2.2311.bmp	Pictures\O.Fb2.1221.bmp	Pictures\O.Fb2.2313.bmp	Pictures\O.Fb2.2311.bmp	Pictures\O.Fb2.3321.bmp	3
Pictures\O.Fa4.3223.bmp	Pictures\O.Fa4.2313.bmp	Pictures\O.Fa4.2223.bmp	Pictures\O.Fa4.3223.bmp	Pictures\O.Fa4.1323.bmp	3
Pictures\O.Fc2.2121.bmp	Pictures\O.Fc2.2121.bmp	Pictures\O.Fc2.2321.bmp	Pictures\O.Fc2.1211.bmp	Pictures\O.Fc2.3111.bmp	1
Pictures\O.Fa3.3221.bmp	Pictures\O.Fa3.3221.bmp	Pictures\O.Fa3.3111.bmp	Pictures\O.Fa3.1331.bmp	Pictures\O.Fa3.3121.bmp	1
Pictures\O.Fa2.2213.bmp	Pictures\O.Fa2.2213.bmp	Pictures\O.Fa2.2211.bmp	Pictures\O.Fa2.1333.bmp	Pictures\O.Fa2.2133.bmp	1
Pictures\O.Fa3.2113.bmp	Pictures\O.Fa3.2113.bmp	Pictures\O.Fa3.3333.bmp	Pictures\O.Fa3.3123.bmp	Pictures\O.Fa3.2313.bmp	1
Pictures\O.Fa1.2112.bmp	Pictures\O.Fa1.2112.bmp	Pictures\O.Fa1.3332.bmp	Pictures\O.Fa1.2332.bmp	Pictures\O.Fa1.2113.bmp	1
Pictures\O.Fa1.1321.bmp	Pictures\O.Fa1.3311.bmp	Pictures\O.Fa1.3321.bmp	Pictures\O.Fa1.1321.bmp	Pictures\O.Fa1.2231.bmp	3
Pictures\O.Fc1.3322.bmp	Pictures\O.Fc1.1312.bmp	Pictures\O.Fc1.3122.bmp	Pictures\O.Fc1.2232.bmp	Pictures\O.Fc1.3322.bmp	4
Pictures\O.Fb4.2322.bmp	Pictures\O.Fb4.2222.bmp	Pictures\O.Fb4.2322.bmp	Pictures\O.Fb4.1312.bmp	Pictures\O.Fb4.3212.bmp	2
Pictures\O.Fc2.2222.bmp	Pictures\O.Fc2.2222.bmp	Pictures\O.Fc2.1322.bmp	Pictures\O.Fc2.1312.bmp	Pictures\O.Fc2.2212.bmp	1
Pictures\O.Fc1.3331.bmp	Pictures\O.Fc1.3311.bmp	Pictures\O.Fc1.3331.bmp	Pictures\O.Fc1.1111.bmp	Pictures\O.Fc1.1131.bmp	2
